id,titre,description,competences,localisation,type_contrat,salaire
66,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"GCP, React, Spring Boot, Python, Figma, Kubernetes, Pandas",Sfax,Alternance,23858
67,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Photoshop, TensorFlow, Numpy, Python, Figma, Kubernetes",Madrid,CDD,66036
68,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"Angular, Figma, Docker, CI/CD",Lyon,Stage,47507
69,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"TensorFlow, GCP, AWS, Azure",Berlin,CDI,49449
70,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Java, JavaScript, CI/CD, HTML",Tunis,CDD,54330
71,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"GCP, CSS, Python, NoSQL",Sfax,CDD,33293
72,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"Photoshop, Azure, React, Linux",Lyon,CDI,29543
73,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Kubernetes, Docker, TensorFlow",Casablanca,Stage,26966
74,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Angular, CI/CD, Figma, Numpy",Paris,CDI,49487
75,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Pandas, Azure, CI/CD, AWS, Java, Linux, CSS",Sfax,Alternance,36033
76,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"Python, Figma, Numpy, TensorFlow",Berlin,CDD,52848
77,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Numpy, Azure, Linux, AWS, TensorFlow, Photoshop, Pandas",Montréal,CDD,67425
78,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"Java, NoSQL, Figma, Angular, CSS",Tunis,Freelance,66733
79,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Azure, JavaScript, GCP, AWS, TensorFlow, CI/CD, Figma",Sfax,Alternance,40760
80,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"Numpy, AWS, Spring Boot",Paris,Stage,31673
81,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"Angular, GCP, NoSQL, Azure, CI/CD, Kubernetes",Berlin,CDI,53753
82,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"NoSQL, Docker, Numpy, CI/CD, Photoshop, SQL",Madrid,Alternance,59470
83,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Linux, GCP, CI/CD, Spring Boot",Madrid,CDD,20691
84,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Kubernetes, Flask, Spring Boot",Montréal,Stage,60567
85,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Linux, SQL, Spring Boot, GCP, HTML, React",Paris,Freelance,59530
86,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Numpy, Linux, AWS, Docker",Casablanca,CDD,66085
87,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"NoSQL, Kubernetes, AWS, Azure, CI/CD, CSS",Sfax,Freelance,75651
88,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Flask, GCP, CSS, Figma, Photoshop, HTML, Docker",Berlin,CDD,36883
89,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Docker, Azure, React, TensorFlow, NoSQL, Python, Photoshop",Tunis,Stage,73875
90,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"TensorFlow, Flask, Kubernetes, React, Azure",Casablanca,CDI,51305
91,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"CI/CD, TensorFlow, SQL, HTML, Java, AWS, JavaScript",Berlin,CDD,21544
92,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"HTML, Kubernetes, Azure, AWS, Flask, JavaScript, NoSQL",Paris,Alternance,76077
93,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Docker, AWS, Linux, Numpy",Lyon,Freelance,46768
94,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"HTML, Python, Numpy, SQL, CI/CD, CSS",Montréal,Freelance,23517
95,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"HTML, TensorFlow, Spring Boot, Flask, GCP",Paris,CDD,39503
96,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Flask, SQL, Linux, Pandas",Tunis,Stage,34570
97,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Flask, TensorFlow, JavaScript, Angular, NoSQL, Photoshop",Sfax,Alternance,24606
98,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"Figma, TensorFlow, Docker, Flask, HTML",Tunis,Freelance,39412
99,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"JavaScript, SQL, Figma",Berlin,Freelance,22196
100,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"TensorFlow, Linux, SQL, Numpy, Pandas, NoSQL, Spring Boot",Berlin,Freelance,56998
101,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Python, React, Angular, Java, JavaScript",Montréal,Alternance,40435
102,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"AWS, Java, GCP, Python",Montréal,CDD,56563
103,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Numpy, JavaScript, Java",Madrid,Alternance,48718
104,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"CI/CD, TensorFlow, Kubernetes, Python, Flask",Lyon,Alternance,64061
105,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Docker, JavaScript, SQL, CI/CD",Sfax,CDD,34565
106,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"AWS, CI/CD, Spring Boot, Java, SQL, Figma, Numpy",Lyon,Freelance,69173
107,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"NoSQL, Linux, AWS, Docker, Java, JavaScript, GCP",Paris,CDD,44349
108,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"Pandas, Azure, JavaScript, CI/CD",Casablanca,Alternance,30352
109,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Kubernetes, NoSQL, CI/CD, TensorFlow, React",Sfax,Freelance,35096
110,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"HTML, Docker, GCP, Kubernetes",Madrid,CDD,36916
111,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Python, Angular, NoSQL, SQL, Azure, Java",Madrid,CDI,59078
112,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Numpy, NoSQL, JavaScript",Montréal,Stage,56011
113,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"Numpy, Azure, Flask",Lyon,Freelance,63259
114,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Angular, Linux, HTML, Figma, Photoshop",Tunis,Alternance,32533
115,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"HTML, Azure, CI/CD, Kubernetes, Spring Boot, GCP, React",Berlin,Stage,50810
116,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"Python, Docker, Figma, Numpy, React",Berlin,Alternance,36002
117,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Spring Boot, React, Pandas, Photoshop, Angular, NoSQL",Casablanca,Alternance,33286
118,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"Figma, HTML, Python, TensorFlow, Flask, Azure",Casablanca,CDI,37702
119,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"NoSQL, HTML, Figma, Docker",Tunis,CDD,67437
120,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Numpy, TensorFlow, Kubernetes, GCP, Java",Paris,CDD,33704
121,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"Angular, SQL, TensorFlow, GCP",Casablanca,Stage,72604
122,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"Angular, TensorFlow, AWS, Java",Casablanca,CDD,51164
123,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Kubernetes, NoSQL, CSS, Numpy, Linux",Madrid,CDD,41696
124,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"React, Linux, Docker, CSS, Flask",Montréal,Freelance,68448
125,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"Java, NoSQL, Numpy, SQL",Berlin,Alternance,71561
126,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"AWS, JavaScript, Numpy, Kubernetes, Java",Sfax,CDI,67453
127,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Spring Boot, Photoshop, Pandas, SQL, AWS, Python, CI/CD",Berlin,Freelance,48200
128,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Linux, HTML, SQL",Sfax,Stage,66020
129,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Flask, Kubernetes, Angular",Casablanca,Freelance,57174
130,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"CI/CD, Kubernetes, SQL, Docker",Lyon,CDD,58596
131,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"CI/CD, Figma, Angular",Lyon,Stage,51616
132,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"Spring Boot, GCP, AWS, HTML, Java, React",Tunis,Stage,69877
133,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Python, JavaScript, HTML, Photoshop",Casablanca,Alternance,51609
134,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"Python, Pandas, CSS",Montréal,CDI,33566
135,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Photoshop, Python, Kubernetes, TensorFlow, Docker, Azure",Lyon,Alternance,30142
136,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"CSS, Python, Java, HTML",Lyon,Alternance,67005
137,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"CSS, Kubernetes, HTML, Java, Numpy, Linux",Casablanca,Alternance,71064
138,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"React, Linux, HTML, Java, Spring Boot",Casablanca,Freelance,25960
139,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"JavaScript, Pandas, CI/CD, Kubernetes",Sfax,Stage,30506
140,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"Spring Boot, Photoshop, HTML, Figma",Paris,CDD,58070
141,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"React, Flask, Numpy",Casablanca,Freelance,55122
142,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Flask, Photoshop, SQL, NoSQL, Figma, Pandas, CI/CD",Casablanca,CDI,78417
143,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"Flask, Spring Boot, Pandas, Numpy",Sfax,CDI,39024
144,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"Azure, Figma, React, HTML, CSS, Kubernetes, Spring Boot",Tunis,Stage,53659
145,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"JavaScript, GCP, Flask",Tunis,CDD,57610
146,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"Figma, JavaScript, AWS",Montréal,Alternance,55117
147,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Numpy, Python, Angular, Azure",Madrid,CDI,45779
148,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"SQL, Linux, Azure, Flask, AWS, Python, TensorFlow",Lyon,Freelance,33012
149,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"Flask, Angular, CSS, Numpy",Lyon,Alternance,36440
150,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Linux, GCP, HTML",Casablanca,Freelance,49819
151,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"JavaScript, Linux, Java, Spring Boot, HTML",Lyon,CDI,25357
152,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"JavaScript, Numpy, Linux, Angular, HTML, AWS, Java",Sfax,CDD,74090
153,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"CI/CD, CSS, Photoshop, Azure",Montréal,Freelance,73658
154,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Flask, HTML, Spring Boot",Madrid,CDD,49298
155,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Linux, Flask, Numpy",Berlin,Alternance,28888
156,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"CSS, Flask, Kubernetes, Java",Tunis,CDI,69826
157,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"Python, JavaScript, NoSQL, AWS",Tunis,CDI,33534
158,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Java, Azure, React",Casablanca,Alternance,22889
159,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Numpy, AWS, Pandas",Sfax,CDD,28376
160,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"Docker, Linux, NoSQL, Photoshop",Montréal,CDD,22183
161,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"Linux, Photoshop, AWS",Tunis,Stage,39354
162,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"React, CSS, SQL, Angular",Montréal,Freelance,46305
163,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"JavaScript, CSS, SQL, Spring Boot, GCP, NoSQL, HTML",Lyon,CDI,73361
164,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"React, TensorFlow, Python, CSS, Docker, Java, Spring Boot",Paris,Alternance,79930
